"SampleID"	"StratUnit"	"Si"	"Ti"	"Al"	"Fe"	"Mg"	"Ca"	"Na"	"K"	"P"	"Rb"	"Nb"	"Zr"	"Th"	"V"	"Cr"	"Co"	"Ni"	"La"	"Er"	"Yb"	"Y"	"Ga"
174	"mJF"	6099.76316608498	172.789854981732	984.687559225916	1033.26357238669	7138.1784619049	870.225795061825	193.61415345277	233.555564992144	76.0860630312163	0.36855985529053	0.917052198137523	0.808997632202052	0.053870463514397	1.37412522206845	20.7900207900208	1.42703942769101	19.7126082319307	0.513298609486305	0.00436446251345211	0.00294729542302358	0.0989811131663439	0.0588041248942243
175	"mJF"	6392.6849443199	176.546156176987	1251.45550355804	1016.98184336726	6939.68896696142	718.649580758024	464.673968286647	335.47072062508	78.9040653657058	0.365049761430621	0.922433959863682	0.737744453214066	0.0512846812657059	1.19745197923108	18.6937097205367	1.45249197396374	20.4111535538919	0.507539298299923	0.00346765514767428	0.0027161349976884	0.0843589032667704	0.0616726187915035
176	"mJF"	6043.17600438051	206.596565739027	1180.84045947012	1095.88560707679	7386.29033058425	691.900837057353	283.967425064062	101.915155632936	107.084088710601	0.188375037148493	1.28193564317111	1.01398754713672	0.0853308142068048	1.62931990616688	23.9441035000702	1.45418881038192	21.8252818885939	0.622725522027566	0.00508190840607438	0.0040453074433657	0.101230683920124	0.0889233108156562
177	"mJF"	5801.84840299379	162.773051794385	949.380037181959	1009.46719920445	7388.77144927105	1073.51624718692	200.067958567862	50.9575778164678	76.0860630312163	0.0971125967908382	1.02899284204163	0.775015346838551	0.0594729917198943	1.31523414112266	20.4053765570879	1.38970902649101	20.9563596588373	0.50537955660503	0.00376659093626689	0.00306287563569117	0.0877332593974412	0.0760150882778997
178	"mJF"	6156.35032778946	155.260449403875	996.456733240569	1089.62340360778	7755.97701491649	561.723617714088	212.975568798047	93.4222259968576	78.9040653657058	0.166144442702398	0.95041912083971	0.863807769885118	0.0586110643036639	1.57042882522109	21.3092905044801	1.53394012203648	22.9668071708233	0.478022828469715	0.00412531388257802	0.00312066574202497	0.0967315424125634	0.0774493352265393
179	"mJF"	5855.10690812741	167.781453388058	1023.91813927476	1006.96231781685	7621.99660582964	836.344053040976	225.883179028231	101.915155632936	76.0860630312163	0.169654536562308	0.984862395887129	0.858326756116811	0.0624897376767005	1.2956037808074	23.5594592671373	1.38292168081828	21.5186034545622	0.529136715248856	0.00424488819801507	0.00277392510402219	0.102355469297015	0.0788835821751789
180	"mJF"	6143.03570150605	186.562959364334	1133.76376341151	1011.97208059205	7517.78962098431	538.541373173507	342.051671099893	186.844451993715	84.5400700346848	0.296017915519061	1.11402467731495	1.00412172235377	0.0646445562172764	1.55079846490582	21.7131669490596	1.4660666653092	21.263038092869	0.604007760671824	0.00430467535573359	0.00387193712436431	0.119227249950369	0.104700027250692
181	"mJF"	6023.2040649554	182.806658169079	1153.37905343593	1014.47696197966	7656.73226744475	700.817084957576	271.059814833877	135.886874177247	81.7220677001953	0.223475975747592	1.16461323754084	1.03043058844164	0.0642135925091612	1.55079846490582	24.0787289815967	1.5407274677092	21.1608119481918	0.615526383044588	0.00376659093626689	0.00410309754969949	0.121476820704149	0.086054816918377
182	"mJF"	5610.45065016985	160.268850997548	945.456979177075	956.864690064764	7555.00640128621	1214.39296401046	206.521763682954	93.4222259968576	73.2680606967268	0.138063691823119	1.00638944279177	0.794746996404455	0.0629207013848157	1.39375558238371	20.6553953084943	1.29129251423646	19.6444574688125	0.519777834570985	0.00430467535573359	0.0026005547850208	0.100105898543234	0.0717123474319808
183	"mJF"	5783.54079185411	171.537754583314	1039.61037129429	1005.70987712304	7515.30850229752	989.703516924822	219.429373913139	127.393944541169	67.6320560277479	0.19656525615495	0.949342768494478	0.889020433219328	0.0577491368874336	1.37412522206845	20.0015001125084	1.47115717456374	22.5067895197756	0.493141020333968	0.00412531388257802	0.00294729542302358	0.103480254673905	0.0645411126887828
184	"mJF"	6252.88136834414	199.083963348517	976.841443216148	1078.35143736356	7969.35322198073	417.280401730465	212.975568798047	110.408085269014	61.9960513587689	0.183694912001947	1.04729083191057	0.85723055336315	0.0504227538494756	1.64895026648214	21.0592717530738	1.59502623309103	23.0008825523824	0.508979126096519	0.00376659093626689	0.00340961627369394	0.100105898543234	0.0774493352265393
185	"mJF"	6144.70002979148	164.025152192803	1027.84119727964	1006.96231781685	7693.94904774665	661.585594196593	167.7989329924	89.1757611788186	70.4500583622373	0.164974411415761	0.987015100577592	0.825440673506972	0.0607658828442398	1.5115377442753	20.2707510755614	1.4474014647092	20.3089274092147	0.508259212198221	0.00412531388257802	0.00312066574202497	0.0989811131663439	0.086054816918377
186	"mJF"	5963.28824668008	145.243646216528	992.533675235684	999.447673654033	7651.77003007116	855.959798421467	174.252738107493	97.6686908148966	70.4500583622373	0.147423942116212	0.980556986506201	0.801324212926423	0.0530085360981666	1.41338594269898	21.9824179121126	1.61708510652739	21.0585858035145	0.486661795249288	0.00358722946311132	0.00288950531668978	0.0944819716587829	0.0874890638670166
187	"mJF"	6192.96555006882	175.294055778569	1055.30260331383	1147.23567552267	7376.36585583708	677.634840416995	283.967425064062	110.408085269014	73.2680606967268	0.18252488071531	0.956877234911101	0.807901429448391	0.053870463514397	1.47227702364477	19.0783539534696	1.42364575485465	20.5815304616873	0.461464808808866	0.00382637809398541	0.00335182616736015	0.103480254673905	0.0846205699697374
188	"mJF"	6396.01360089075	162.773051794385	1141.60987942128	1049.54530140612	6842.92533817648	740.04857571856	283.967425064062	152.872733449403	81.7220677001953	0.283147571366058	0.87399810432825	0.813382443216697	0.0469750441845542	1.45264666332951	20.5207698269678	1.51697175785466	24.0231439991549	0.462184722707164	0.00394595240942246	0.00300508552935737	0.0933571862818926	0.067409606586062
189	"mJF"	6301.14688862149	184.058758567497	1200.45574949454	1034.51601308049	6912.39666140669	797.112562279991	387.228306905539	203.830311265871	81.7220677001953	0.339309073124615	1.0515962412915	0.892309041480312	0.0655064836335067	1.53116810459056	24.4826054261762	1.57296735965466	24.3127847424072	0.539215509825025	0.0035274423053928	0.00312066574202497	0.101230683920124	0.0803178291238185
