"SampleID"	"StratUnit"	"Si"	"Ti"	"Al"	"Fe"	"Mg"	"Ca"	"Na"	"K"	"P"	"Rb"	"Nb"	"Zr"	"Th"	"V"	"Cr"	"Co"	"Ni"	"La"	"Er"	"Yb"	"Y"	"Ga"
126	"eJF"	43.0773541304396	1.00971721319646	2.48907033950755	9.49838634274344	39.8838299212601	3.17004241352377	0.152631671762255	0.129149876106524	0.270040650040914	0.000634008482704754	0.00688016612712936	0.00529514492036748	0.000833603745778472	0.00669231176188351	0.114825980756528	0.0117174160322101	0.166955567112252	0.00467287733549059	4.93117708770364e-05	3.52226934835974e-05	0.000645749380532619	0.000540081300081827
127	"eJF"	42.7422847351673	1.21212977084863	1.97706603400554	8.67320039917905	41.2712534598656	3.34218305748555	0.0706095012144834	0.0941460016193112	0.27066975465552	0.000564876009715867	0.00839076239432111	0.00560168709634902	0.00103560601781242	0.00706095012144834	0.115917264493777	0.0136040972339905	0.187350543222429	0.00582528385019488	4.47193507691728e-05	4.94266508501384e-05	0.000600180760323109	0.000411888757084487
128	"eJF"	42.0668769152808	1.062294871598	3.186884614794	9.83212920045704	38.5967136680606	4.30819586814744	0.141639316213067	0.188852421617422	0.306885185128311	0.00108590142430018	0.00782557222077193	0.00684590028363155	0.00120393418781107	0.00767212962820777	0.104222930180115	0.0113783584024497	0.162413082590983	0.00551213005595851	6.25573646607711e-05	5.42950712150088e-05	0.000708196581065333	0.000542950712150088
129	"eJF"	41.9394654586164	1.17116630713813	2.99818574627361	10.2008585351731	38.8475864077718	3.85313715048445	0.152251619927957	0.175674946070719	0.304503239855914	0.000890086393424978	0.00787023758396823	0.00815131749768138	0.00115945464406675	0.00761258099639784	0.128242710631625	0.0123440928772359	0.183873110220686	0.0055747516219775	7.49546436568403e-05	6.55853131997353e-05	0.000819816414996691	0.000491889848998014
130	"eJF"	42.232009465456	0.993137960553837	2.3882603337128	8.725426367723	40.4821949635278	4.2681286161897	0.153699922466665	0.130053780548717	0.248284490138459	0.000922199534799992	0.00694014265291789	0.00536767421537431	0.000874907250964095	0.00662091973702558	0.143177389313178	0.0128043858485691	0.196381208628562	0.00471740531263073	4.13807483564099e-05	3.42869057810253e-05	0.000520215122194867	0.000401984412605125
131	"eJF"	42.9110496443246	1.09758875280721	2.4287070274883	9.91332820354601	39.8518129077768	2.93079549951714	0.1868236174991	0.105088284843244	0.221853045780182	0.00061885323296577	0.00677235613434239	0.00516100243341265	0.000934118087495502	0.00653882661246851	0.118282702829118	0.0127273589421262	0.196515092656866	0.00421520786982345	5.02088472028832e-05	5.13764948122526e-05	0.000583823804684689	0.000502088472028832
132	"eJF"	43.8357918859568	1.08398289717991	1.81060879528952	10.3276172731317	35.5808452074329	6.00359758438104	0.41691649891535	0.32162129916327	0.2382379993802	0.00206075869463873	0.00743302558066224	0.00508638128676727	0.00082192109786169	0.0069089019820258	0.124717592675535	0.0144372227624401	0.213580366444349	0.00474093618766598	3.2162129916327e-05	3.2162129916327e-05	0.00051221169866743	0.00041691649891535
133	"eJF"	42.9922766055846	1.02615310416622	3.98666378400208	9.3179419803599	37.1302295622443	4.31691995545788	0.271281855124402	0.353845897988351	0.294871581656959	0.00207589593486499	0.0073010203618263	0.00693537960057167	0.00126205036949178	0.00754871249041815	0.105681974865854	0.0105681974865854	0.161943472646002	0.00500102202490202	6.25127753112753e-05	5.54358573515083e-05	0.000743076385775536	0.000636922616379031
134	"eJF"	43.0240979613928	1.03164049607699	3.11836786314182	9.63646008835556	38.7685809150752	3.43489392443817	0.117231874554204	0.234463749108408	0.257910124019248	0.00143022886956129	0.00636569078829327	0.00606088791445234	0.000937854996433631	0.00879239059156529	0.141967800085141	0.0108087788338976	0.193549824888991	0.00513475610547413	5.27543435493917e-05	5.62712997860178e-05	0.000679944872414382	0.000515820248038497
135	"eJF"	41.4621289978709	1.17790139198497	2.74451024332498	10.2595211241891	38.3760273508703	4.78227965145898	0.223801264477144	0.318033375835942	0.270917320156543	0.00176685208797746	0.00707918736582967	0.00698495525447087	0.00101299519710707	0.00824530974389479	0.165966306130682	0.0117907929337695	0.176214048240952	0.00458203641482153	6.00729709912335e-05	5.77171682072635e-05	0.000706740835190982	0.00041226548719474
